x,y1,y2,y3,y4
0.6409,0.8725,0.1819,-0.5573,0.1441
0.6535,0.8701,0.1805,-0.5318,0.1232
0.6660,0.8679,0.1792,-0.5060,0.1024
0.6786,0.8657,0.1782,-0.4799,0.0815
0.6912,0.8638,0.1775,-0.4534,0.0606
0.7037,0.8619,0.1770,-0.4267,0.0397
0.7163,0.8602,0.1768,-0.3996,0.0187
0.7288,0.8586,0.1769,-0.3723,-0.0024
0.7414,0.8572,0.1773,-0.3447,-0.0236
0.7540,0.8560,0.1780,-0.3169,-0.0450
0.7665,0.8549,0.1790,-0.2889,-0.0665
0.7791,0.8540,0.1803,-0.2606,-0.0882
0.7917,0.8532,0.1819,-0.2322,-0.1101
0.8042,0.8526,0.1839,-0.2037,-0.1322
0.8168,0.8522,0.1863,-0.1750,-0.1546
0.8294,0.8519,0.1890,-0.1461,-0.1773
0.8419,0.8519,0.1920,-0.1172,-0.2003
0.8545,0.8520,0.1954,-0.0882,-0.2236
0.8671,0.8522,0.1991,-0.0592,-0.2472
0.8796,0.8527,0.2033,-0.0301,-0.2711
0.8922,0.8533,0.2077,-0.0010,-0.2954
0.9048,0.8541,0.2125,0.0280,-0.3201
0.9173,0.8551,0.2177,0.0571,-0.3451
0.9299,0.8563,0.2233,0.0860,-0.3705
0.9425,0.8576,0.2291,0.1149,-0.3963
0.9550,0.8591,0.2354,0.1437,-0.4225
0.9676,0.8607,0.2419,0.1724,-0.4490
0.9802,0.8626,0.2488,0.2009,-0.4759
0.9927,0.8646,0.2560,0.2292,-0.5032
1.0053,0.8667,0.2635,0.2574,-0.5308
1.0179,0.8690,0.2713,0.2853,-0.5587
1.0304,0.8715,0.2794,0.3130,-0.5869
1.0430,0.8741,0.2878,0.3404,-0.6154
1.0556,0.8768,0.2964,0.3676,-0.6442
1.0681,0.8797,0.3052,0.3944,-0.6732
1.0807,0.8827,0.3143,0.4209,-0.7024
1.0933,0.8859,0.3236,0.4471,-0.7318
1.1058,0.8891,0.3330,0.4729,-0.7613
1.1184,0.8924,0.3427,0.4983,-0.7910
1.1310,0.8959,0.3524,0.5232,-0.8206
1.1435,0.8994,0.3623,0.5478,-0.8503
1.1561,0.9031,0.3723,0.5719,-0.8799
1.1687,0.9068,0.3823,0.5955,-0.9095
1.1812,0.9105,0.3925,0.6186,-0.9389
1.1938,0.9144,0.4026,0.6412,-0.9682
1.2064,0.9182,0.4127,0.6632,-0.9972
1.2189,0.9222,0.4229,0.6847,-1.0259
1.2315,0.9261,0.4329,0.7056,-1.0543
1.2441,0.9301,0.4430,0.7259,-1.0822
1.2566,0.9340,0.4529,0.7456,-1.1097
1.2692,0.9380,0.4626,0.7647,-1.1367
1.2818,0.9419,0.4723,0.7832,-1.1632
1.2943,0.9458,0.4817,0.8010,-1.1890
1.3069,0.9497,0.4910,0.8181,-1.2141
1.3195,0.9535,0.5000,0.8345,-1.2385
1.3320,0.9573,0.5088,0.8502,-1.2621
1.3446,0.9610,0.5173,0.8652,-1.2848
1.3572,0.9646,0.5255,0.8794,-1.3067
1.3697,0.9681,0.5334,0.8929,-1.3276
1.3823,0.9715,0.5410,0.9057,-1.3475
1.3949,0.9747,0.5481,0.9176,-1.3663
1.4074,0.9779,0.5549,0.9288,-1.3841
1.4200,0.9808,0.5613,0.9393,-1.4007
1.4326,0.9836,0.5673,0.9489,-1.4162
1.4451,0.9863,0.5728,0.9577,-1.4304
1.4577,0.9887,0.5778,0.9657,-1.4434
1.4703,0.9909,0.5824,0.9728,-1.4551
1.4828,0.9930,0.5864,0.9792,-1.4655
1.4954,0.9948,0.5900,0.9847,-1.4746
1.5080,0.9963,0.5930,0.9894,-1.4823
1.5205,0.9976,0.5955,0.9932,-1.4887
1.5331,0.9986,0.5975,0.9962,-1.4936
1.5457,0.9994,0.5989,0.9983,-1.4972
1.5582,0.9998,0.5997,0.9996,-1.4993
1.5708,1.0000,0.6000,1.0000,-1.5000
1.5834,0.9998,0.5997,0.9996,-1.4993
1.5959,0.9994,0.5989,0.9983,-1.4972
1.6085,0.9985,0.5974,0.9962,-1.4936
1.6211,0.9973,0.5954,0.9932,-1.4887
1.6336,0.9958,0.5929,0.9894,-1.4823
1.6462,0.9939,0.5897,0.9847,-1.4746
1.6588,0.9916,0.5860,0.9792,-1.4655
1.6713,0.9889,0.5817,0.9728,-1.4551
1.6839,0.9858,0.5769,0.9657,-1.4434
1.6965,0.9823,0.5716,0.9577,-1.4304
1.7090,0.9784,0.5657,0.9489,-1.4162
1.7216,0.9740,0.5593,0.9393,-1.4007
1.7342,0.9692,0.5523,0.9288,-1.3841
1.7467,0.9640,0.5449,0.9176,-1.3663
1.7593,0.9583,0.5370,0.9057,-1.3475
1.7719,0.9522,0.5286,0.8929,-1.3276
1.7844,0.9455,0.5198,0.8794,-1.3067
1.7970,0.9384,0.5106,0.8652,-1.2849
1.8096,0.9308,0.5009,0.8502,-1.2622
1.8221,0.9228,0.4908,0.8345,-1.2386
1.8347,0.9142,0.4804,0.8181,-1.2143
1.8473,0.9052,0.4695,0.8010,-1.1892
1.8598,0.8956,0.4584,0.7832,-1.1635
1.8724,0.8856,0.4469,0.7647,-1.1372
1.8850,0.8750,0.4352,0.7456,-1.1103
1.8975,0.8639,0.4231,0.7259,-1.0829
1.9101,0.8524,0.4108,0.7056,-1.0552
1.9227,0.8403,0.3983,0.6847,-1.0270
1.9352,0.8277,0.3856,0.6632,-0.9986
1.9478,0.8146,0.3727,0.6412,-0.9700
1.9604,0.8010,0.3596,0.6186,-0.9412
1.9729,0.7869,0.3464,0.5955,-0.9123
1.9855,0.7723,0.3330,0.5719,-0.8834
1.9981,0.7571,0.3196,0.5478,-0.8545
2.0106,0.7415,0.3061,0.5232,-0.8257
2.0232,0.7254,0.2925,0.4983,-0.7971
2.0358,0.7088,0.2790,0.4729,-0.7686
2.0483,0.6917,0.2653,0.4471,-0.7405
2.0609,0.6741,0.2517,0.4209,-0.7127
2.0735,0.6561,0.2382,0.3944,-0.6853
2.0860,0.6376,0.2246,0.3676,-0.6583
2.0986,0.6186,0.2111,0.3404,-0.6319
2.1112,0.5992,0.1977,0.3130,-0.6060
2.1237,0.5793,0.1844,0.2853,-0.5807
2.1363,0.5590,0.1712,0.2574,-0.5561
2.1488,0.5383,0.1581,0.2292,-0.5323
2.1614,0.5172,0.1452,0.2009,-0.5091
2.1740,0.4957,0.1324,0.1724,-0.4868
2.1865,0.4737,0.1198,0.1437,-0.4654
2.1991,0.4514,0.1073,0.1149,-0.4448
2.2117,0.4288,0.0950,0.0860,-0.4252
2.2242,0.4057,0.0829,0.0571,-0.4065
2.2368,0.3824,0.0710,0.0280,-0.3888
2.2494,0.3587,0.0593,-0.0010,-0.3722
2.2619,0.3347,0.0479,-0.0301,-0.3566
2.2745,0.3104,0.0366,-0.0592,-0.3422
2.2871,0.2858,0.0256,-0.0882,-0.3288
2.2996,0.2610,0.0147,-0.1172,-0.3165
2.3122,0.2359,0.0042,-0.1461,-0.3055
2.3248,0.2106,-0.0062,-0.1750,-0.2955
2.3373,0.1851,-0.0163,-0.2037,-0.2868
2.3499,0.1594,-0.0262,-0.2322,-0.2792
2.3625,0.1335,-0.0359,-0.2606,-0.2729
2.3750,0.1074,-0.0453,-0.2889,-0.2677
2.3876,0.0812,-0.0545,-0.3169,-0.2637
2.4002,0.0549,-0.0634,-0.3447,-0.2610
2.4127,0.0285,-0.0722,-0.3723,-0.2594
2.4253,0.0020,-0.0807,-0.3996,-0.2591
2.4379,-0.0245,-0.0889,-0.4267,-0.2599
2.4504,-0.0511,-0.0970,-0.4534,-0.2619
2.4630,-0.0778,-0.1048,-0.4799,-0.2650
2.4756,-0.1044,-0.1125,-0.5060,-0.2693
2.4881,-0.1310,-0.1199,-0.5318,-0.2747
2.5007,-0.1575,-0.1271,-0.5573,-0.2811
2.5133,-0.1840,-0.1341,-0.5823,-0.2887
2.5258,-0.2104,-0.1409,-0.6070,-0.2973
2.5384,-0.2367,-0.1476,-0.6313,-0.3069
2.5510,-0.2629,-0.1540,-0.6552,-0.3175
2.5635,-0.2889,-0.1603,-0.6786,-0.3290
2.5761,-0.3148,-0.1664,-0.7016,-0.3414
2.5887,-0.3405,-0.1723,-0.7242,-0.3547
2.6012,-0.3659,-0.1781,-0.7463,-0.3688
2.6138,-0.3912,-0.1837,-0.7679,-0.3837
2.6264,-0.4161,-0.1891,-0.7890,-0.3993
2.6389,-0.4408,-0.1944,-0.8097,-0.4156
2.6515,-0.4652,-0.1995,-0.8298,-0.4325
2.6641,-0.4893,-0.2045,-0.8495,-0.4500
2.6766,-0.5131,-0.2094,-0.8686,-0.4680
2.6892,-0.5365,-0.2141,-0.8872,-0.4866
2.7018,-0.5595,-0.2187,-0.9053,-0.5055
2.7143,-0.5821,-0.2231,-0.9228,-0.5248
2.7269,-0.6043,-0.2274,-0.9398,-0.5444
2.7395,-0.6261,-0.2316,-0.9562,-0.5642
2.7520,-0.6474,-0.2357,-0.9721,-0.5843
2.7646,-0.6683,-0.2396,-0.9875,-0.6044
2.7772,-0.6886,-0.2435,-1.0023,-0.6247
2.7897,-0.7085,-0.2472,-1.0165,-0.6449
2.8023,-0.7278,-0.2507,-1.0302,-0.6651
2.8149,-0.7465,-0.2542,-1.0433,-0.6852
2.8274,-0.7647,-0.2575,-1.0559,-0.7051
2.8400,-0.7824,-0.2608,-1.0679,-0.7248
2.8526,-0.7994,-0.2639,-1.0794,-0.7442
2.8651,-0.8159,-0.2669,-1.0903,-0.7632
2.8777,-0.8317,-0.2697,-1.1006,-0.7819
2.8903,-0.8468,-0.2725,-1.1104,-0.8001
2.9028,-0.8614,-0.2751,-1.1197,-0.8178
2.9154,-0.8752,-0.2776,-1.1284,-0.8349
2.9280,-0.8884,-0.2799,-1.1365,-0.8515
2.9405,-0.9009,-0.2822,-1.1442,-0.8673
2.9531,-0.9127,-0.2843,-1.1513,-0.8825
2.9657,-0.9238,-0.2863,-1.1579,-0.8969
2.9782,-0.9341,-0.2882,-1.1640,-0.9105
2.9908,-0.9438,-0.2899,-1.1695,-0.9232
3.0034,-0.9527,-0.2915,-1.1746,-0.9351
3.0159,-0.9608,-0.2930,-1.1792,-0.9461
3.0285,-0.9682,-0.2943,-1.1833,-0.9561
3.0411,-0.9749,-0.2955,-1.1869,-0.9652
3.0536,-0.9807,-0.2965,-1.1901,-0.9732
3.0662,-0.9858,-0.2975,-1.1928,-0.9803
3.0788,-0.9901,-0.2982,-1.1950,-0.9863
3.0913,-0.9937,-0.2989,-1.1968,-0.9912
3.1039,-0.9964,-0.2994,-1.1982,-0.9950
3.1165,-0.9984,-0.2997,-1.1992,-0.9978
3.1290,-0.9996,-0.2999,-1.1998,-0.9994
3.1416,-1.0000,-0.3000,-1.2000,-1.0000
3.1542,-0.9996,-0.2999,-1.1998,-0.9994
3.1667,-0.9984,-0.2997,-1.1993,-0.9978
3.1793,-0.9964,-0.2994,-1.1983,-0.9950
3.1919,-0.9937,-0.2989,-1.1971,-0.9912
3.2044,-0.9901,-0.2982,-1.1955,-0.9863
3.2170,-0.9858,-0.2975,-1.1936,-0.9803
3.2296,-0.9807,-0.2965,-1.1914,-0.9732
3.2421,-0.9749,-0.2955,-1.1889,-0.9652
3.2547,-0.9682,-0.2943,-1.1862,-0.9561
3.2673,-0.9608,-0.2930,-1.1831,-0.9461
3.2798,-0.9527,-0.2915,-1.1798,-0.9351
3.2924,-0.9438,-0.2899,-1.1763,-0.9232
3.3050,-0.9341,-0.2882,-1.1726,-0.9105
3.3175,-0.9238,-0.2863,-1.1686,-0.8969
3.3301,-0.9127,-0.2843,-1.1644,-0.8825
3.3427,-0.9009,-0.2822,-1.1601,-0.8673
3.3552,-0.8884,-0.2799,-1.1556,-0.8515
3.3678,-0.8752,-0.2776,-1.1509,-0.8349
3.3804,-0.8614,-0.2751,-1.1461,-0.8178
3.3929,-0.8468,-0.2725,-1.1412,-0.8001
3.4055,-0.8317,-0.2697,-1.1361,-0.7819
3.4181,-0.8159,-0.2669,-1.1309,-0.7632
3.4306,-0.7994,-0.2639,-1.1257,-0.7442
3.4432,-0.7824,-0.2608,-1.1203,-0.7248
3.4558,-0.7647,-0.2575,-1.1149,-0.7051
3.4683,-0.7465,-0.2542,-1.1095,-0.6852
3.4809,-0.7278,-0.2507,-1.1039,-0.6651
3.4935,-0.7085,-0.2472,-1.0984,-0.6449
3.5060,-0.6886,-0.2435,-1.0928,-0.6247
3.5186,-0.6683,-0.2396,-1.0873,-0.6044
3.5312,-0.6474,-0.2357,-1.0817,-0.5843
3.5437,-0.6261,-0.2316,-1.0761,-0.5642
3.5563,-0.6043,-0.2274,-1.0706,-0.5444
3.5688,-0.5821,-0.2231,-1.0651,-0.5248
3.5814,-0.5595,-0.2187,-1.0596,-0.5055
3.5940,-0.5365,-0.2141,-1.0542,-0.4866
3.6065,-0.5131,-0.2094,-1.0489,-0.4680
3.6191,-0.4893,-0.2045,-1.0436,-0.4500
3.6317,-0.4652,-0.1995,-1.0384,-0.4325
3.6442,-0.4408,-0.1944,-1.0333,-0.4156
3.6568,-0.4161,-0.1891,-1.0283,-0.3993
3.6694,-0.3912,-0.1837,-1.0234,-0.3837
3.6819,-0.3659,-0.1781,-1.0186,-0.3688
3.6945,-0.3405,-0.1723,-1.0139,-0.3547
3.7071,-0.3148,-0.1664,-1.0093,-0.3414
3.7196,-0.2889,-0.1603,-1.0049,-0.3290
3.7322,-0.2629,-0.1540,-1.0006,-0.3175
3.7448,-0.2367,-0.1476,-0.9964,-0.3069
3.7573,-0.2104,-0.1409,-0.9924,-0.2973
3.7699,-0.1840,-0.1341,-0.9885,-0.2887
3.7825,-0.1575,-0.1271,-0.9848,-0.2811
3.7950,-0.1310,-0.1199,-0.9812,-0.2747
3.8076,-0.1044,-0.1125,-0.9778,-0.2693
3.8202,-0.0778,-0.1048,-0.9745,-0.2650
3.8327,-0.0511,-0.0970,-0.9714,-0.2619
3.8453,-0.0245,-0.0889,-0.9685,-0.2599
3.8579,0.0020,-0.0807,-0.9657,-0.2591
3.8704,0.0285,-0.0722,-0.9631,-0.2594
3.8830,0.0549,-0.0634,-0.9607,-0.2610
3.8956,0.0812,-0.0545,-0.9585,-0.2637
3.9081,0.1074,-0.0453,-0.9564,-0.2677
3.9207,0.1335,-0.0359,-0.9544,-0.2729
3.9333,0.1594,-0.0262,-0.9527,-0.2792
3.9458,0.1851,-0.0163,-0.9511,-0.2868
3.9584,0.2106,-0.0062,-0.9497,-0.2955
3.9710,0.2359,0.0042,-0.9484,-0.3055
3.9835,0.2610,0.0147,-0.9473,-0.3165
3.9961,0.2858,0.0256,-0.9464,-0.3288
4.0087,0.3104,0.0366,-0.9456,-0.3422
4.0212,0.3347,0.0479,-0.9450,-0.3566
4.0338,0.3587,0.0593,-0.9445,-0.3722
4.0464,0.3824,0.0710,-0.9442,-0.3888
4.0589,0.4057,0.0829,-0.9440,-0.4065
4.0715,0.4288,0.0950,-0.9440,-0.4252
4.0841,0.4514,0.1073,-0.9441,-0.4448
4.0966,0.4737,0.1198,-0.9443,-0.4654
4.1092,0.4957,0.1324,-0.9447,-0.4868
4.1218,0.5172,0.1452,-0.9452,-0.5091
4.1343,0.5383,0.1581,-0.9457,-0.5323
4.1469,0.5590,0.1712,-0.9464,-0.5561
4.1595,0.5793,0.1844,-0.9473,-0.5807
4.1720,0.5992,0.1977,-0.9482,-0.6060
4.1846,0.6186,0.2111,-0.9492,-0.6319
4.1972,0.6376,0.2246,-0.9503,-0.6583
4.2097,0.6561,0.2382,-0.9514,-0.6853
4.2223,0.6741,0.2517,-0.9527,-0.7127
4.2349,0.6917,0.2653,-0.9540,-0.7405
4.2474,0.7088,0.2790,-0.9554,-0.7686
4.2600,0.7254,0.2925,-0.9568,-0.7971
4.2726,0.7415,0.3061,-0.9583,-0.8257
4.2851,0.7571,0.3196,-0.9599,-0.8545
4.2977,0.7723,0.3330,-0.9615,-0.8834
4.3103,0.7869,0.3464,-0.9631,-0.9123
4.3228,0.8010,0.3596,-0.9647,-0.9412
4.3354,0.8146,0.3727,-0.9664,-0.9700
4.3480,0.8277,0.3856,-0.9681,-0.9986
4.3605,0.8403,0.3983,-0.9698,-1.0270
4.3731,0.8524,0.4108,-0.9715,-1.0552
4.3857,0.8639,0.4231,-0.9731,-1.0829
4.3982,0.8750,0.4352,-0.9748,-1.1103
4.4108,0.8856,0.4469,-0.9765,-1.1372
4.4234,0.8956,0.4584,-0.9781,-1.1635
4.4359,0.9052,0.4695,-0.9798,-1.1892
4.4485,0.9142,0.4804,-0.9813,-1.2143
4.4611,0.9228,0.4908,-0.9829,-1.2386
4.4736,0.9308,0.5009,-0.9844,-1.2622
4.4862,0.9384,0.5106,-0.9859,-1.2849
4.4988,0.9455,0.5198,-0.9873,-1.3067
4.5113,0.9522,0.5286,-0.9886,-1.3276
4.5239,0.9583,0.5370,-0.9899,-1.3475
4.5365,0.9640,0.5449,-0.9912,-1.3663
4.5490,0.9692,0.5523,-0.9923,-1.3841
4.5616,0.9740,0.5593,-0.9934,-1.4007
4.5742,0.9784,0.5657,-0.9944,-1.4162
4.5867,0.9823,0.5716,-0.9954,-1.4304
4.5993,0.9858,0.5769,-0.9962,-1.4434
4.6119,0.9889,0.5817,-0.9970,-1.4551
4.6244,0.9916,0.5860,-0.9977,-1.4655
4.6370,0.9939,0.5897,-0.9983,-1.4746
4.6496,0.9958,0.5929,-0.9988,-1.4823
4.6621,0.9973,0.5954,-0.9992,-1.4887
4.6747,0.9985,0.5974,-0.9996,-1.4936
4.6873,0.9994,0.5989,-0.9998,-1.4972
4.6998,0.9998,0.5997,-1.0000,-1.4993
4.7124,1.0000,0.6000,-1.0000,-1.5000
4.7250,0.9998,0.5997,-1.0000,-1.4993
4.7375,0.9994,0.5989,-0.9998,-1.4972
4.7501,0.9986,0.5975,-0.9996,-1.4936
4.7627,0.9976,0.5955,-0.9992,-1.4887
4.7752,0.9963,0.5930,-0.9988,-1.4823
4.7878,0.9948,0.5900,-0.9983,-1.4746
4.8004,0.9930,0.5864,-0.9977,-1.4655
4.8129,0.9909,0.5824,-0.9970,-1.4551
4.8255,0.9887,0.5778,-0.9962,-1.4434
4.8381,0.9863,0.5728,-0.9954,-1.4304
4.8506,0.9836,0.5673,-0.9944,-1.4162
4.8632,0.9808,0.5613,-0.9934,-1.4007
4.8758,0.9779,0.5549,-0.9923,-1.3841
4.8883,0.9747,0.5481,-0.9912,-1.3663
4.9009,0.9715,0.5410,-0.9899,-1.3475
4.9135,0.9681,0.5334,-0.9886,-1.3276
4.9260,0.9646,0.5255,-0.9873,-1.3067
4.9386,0.9610,0.5173,-0.9859,-1.2848
4.9512,0.9573,0.5088,-0.9844,-1.2621
4.9637,0.9535,0.5000,-0.9829,-1.2385
4.9763,0.9497,0.4910,-0.9813,-1.2141
4.9888,0.9458,0.4817,-0.9798,-1.1890
5.0014,0.9419,0.4723,-0.9781,-1.1632
5.0140,0.9380,0.4626,-0.9765,-1.1367
5.0265,0.9340,0.4529,-0.9748,-1.1097
5.0391,0.9301,0.4430,-0.9731,-1.0822
5.0517,0.9261,0.4329,-0.9715,-1.0543
5.0642,0.9222,0.4229,-0.9698,-1.0259
5.0768,0.9182,0.4127,-0.9681,-0.9972
5.0894,0.9144,0.4026,-0.9664,-0.9682
5.1019,0.9105,0.3925,-0.9647,-0.9389
5.1145,0.9068,0.3823,-0.9631,-0.9095
5.1271,0.9031,0.3723,-0.9615,-0.8799
5.1396,0.8994,0.3623,-0.9599,-0.8503
5.1522,0.8959,0.3524,-0.9583,-0.8206
5.1648,0.8924,0.3427,-0.9568,-0.7910
5.1773,0.8891,0.3330,-0.9554,-0.7613
5.1899,0.8859,0.3236,-0.9540,-0.7318
5.2025,0.8827,0.3143,-0.9527,-0.7024
5.2150,0.8797,0.3052,-0.9514,-0.6732
5.2276,0.8768,0.2964,-0.9503,-0.6442
5.2402,0.8741,0.2878,-0.9492,-0.6154
5.2527,0.8715,0.2794,-0.9482,-0.5869
5.2653,0.8690,0.2713,-0.9473,-0.5587
5.2779,0.8667,0.2635,-0.9464,-0.5308
5.2904,0.8646,0.2560,-0.9457,-0.5032
5.3030,0.8626,0.2488,-0.9452,-0.4759
5.3156,0.8607,0.2419,-0.9447,-0.4490
5.3281,0.8591,0.2354,-0.9443,-0.4225
5.3407,0.8576,0.2291,-0.9441,-0.3963
5.3533,0.8563,0.2233,-0.9440,-0.3705
5.3658,0.8551,0.2177,-0.9440,-0.3451
5.3784,0.8541,0.2125,-0.9442,-0.3201
5.3910,0.8533,0.2077,-0.9445,-0.2954
5.4035,0.8527,0.2033,-0.9450,-0.2711
5.4161,0.8522,0.1991,-0.9456,-0.2472
5.4287,0.8520,0.1954,-0.9464,-0.2236
5.4412,0.8519,0.1920,-0.9473,-0.2003
5.4538,0.8519,0.1890,-0.9484,-0.1773
5.4664,0.8522,0.1863,-0.9497,-0.1546
5.4789,0.8526,0.1839,-0.9511,-0.1322
5.4915,0.8532,0.1819,-0.9527,-0.1101
5.5041,0.8540,0.1803,-0.9544,-0.0882
5.5166,0.8549,0.1790,-0.9564,-0.0665
5.5292,0.8560,0.1780,-0.9585,-0.0450
5.5418,0.8572,0.1773,-0.9607,-0.0236
5.5543,0.8586,0.1769,-0.9631,-0.0024
5.5669,0.8602,0.1768,-0.9657,0.0187
5.5795,0.8619,0.1770,-0.9685,0.0397
5.5920,0.8638,0.1775,-0.9714,0.0606
5.6046,0.8657,0.1782,-0.9745,0.0815
5.6172,0.8679,0.1792,-0.9778,0.1024
5.6297,0.8701,0.1805,-0.9812,0.1232
5.6423,0.8725,0.1819,-0.9848,0.1441
5.6549,0.8750,0.1836,-0.9885,0.1650
5.6674,0.8776,0.1855,-0.9924,0.1859
5.6800,0.8803,0.1876,-0.9964,0.2069
5.6926,0.8831,0.1898,-1.0006,0.2280
5.7051,0.8860,0.1922,-1.0049,0.2492
5.7177,0.8890,0.1948,-1.0093,0.2704
5.7303,0.8921,0.1975,-1.0139,0.2917
5.7428,0.8952,0.2003,-1.0186,0.3132
5.7554,0.8984,0.2032,-1.0234,0.3347
5.7680,0.9017,0.2063,-1.0283,0.3563
5.7805,0.9050,0.2094,-1.0333,0.3781
5.7931,0.9084,0.2126,-1.0384,0.3999
5.8057,0.9118,0.2158,-1.0436,0.4217
5.8182,0.9152,0.2191,-1.0489,0.4437
5.8308,0.9186,0.2225,-1.0542,0.4656
5.8434,0.9221,0.2258,-1.0596,0.4876
5.8559,0.9255,0.2292,-1.0651,0.5096
5.8685,0.9290,0.2326,-1.0706,0.5315
5.8811,0.9325,0.2359,-1.0761,0.5534
5.8936,0.9359,0.2393,-1.0817,0.5753
5.9062,0.9393,0.2426,-1.0873,0.5970
5.9188,0.9427,0.2459,-1.0928,0.6185
5.9313,0.9460,0.2492,-1.0984,0.6399
5.9439,0.9493,0.2524,-1.1039,0.6610
5.9565,0.9525,0.2555,-1.1095,0.6819
5.9690,0.9557,0.2586,-1.1149,0.7025
5.9816,0.9588,0.2616,-1.1203,0.7227
5.9942,0.9619,0.2645,-1.1257,0.7426
6.0067,0.9649,0.2674,-1.1309,0.7620
6.0193,0.9677,0.2701,-1.1361,0.7810
6.0319,0.9705,0.2727,-1.1412,0.7994
6.0444,0.9732,0.2753,-1.1461,0.8173
6.0570,0.9758,0.2777,-1.1509,0.8346
6.0696,0.9783,0.2801,-1.1556,0.8512
6.0821,0.9807,0.2823,-1.1601,0.8671
6.0947,0.9829,0.2844,-1.1644,0.8823
6.1073,0.9850,0.2863,-1.1686,0.8968
6.1198,0.9870,0.2882,-1.1726,0.9104
6.1324,0.9889,0.2899,-1.1763,0.9232
6.1450,0.9906,0.2915,-1.1798,0.9351
6.1575,0.9922,0.2930,-1.1831,0.9461
6.1701,0.9937,0.2943,-1.1862,0.9561
6.1827,0.9950,0.2955,-1.1889,0.9652
6.1952,0.9962,0.2965,-1.1914,0.9732
6.2078,0.9972,0.2975,-1.1936,0.9803
6.2204,0.9980,0.2982,-1.1955,0.9863
6.2329,0.9987,0.2989,-1.1971,0.9912
6.2455,0.9993,0.2994,-1.1983,0.9950
6.2581,0.9997,0.2997,-1.1993,0.9978
6.2706,0.9999,0.2999,-1.1998,0.9994
